,edital_x,Nº do Imóvel no Edital,Destinação,Área,Área Construção Básica,Área Construção Máxima,Valor de Face,valor_caucao_x,cond_pgto,id_terracap,Endereço,classficacao,relevo,situacao,tipo_de_solo,forma,posicao,frente,fundo,lado_direito,lado_esquerdo,url_details,item,endereco,n_imoveis,valor_compra,uso,coord_name,R$ Valor / Pot. Max,Unnamed: 0,edital_y,Bairro,area_y,valor_caucao_y,geometry,outros_editais_1,outros_editais_2,outros_editais_3,outros_editais_4,outros_editais_5,outros_editais_6,outros_editais_7,outros_editais_8,outros_editais_9,end_comp,Número Lances,Valor Lance Vencedor,Valor Lance Segundo Colocado,Valor Lance Terceiro Colocado,Número Meses,Entrada,Destinação Resumida
10,5/2023,21,"UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.",840.0,756.0,756.0,271000,13550,"
            5% de entrada e restante em até 180 meses.
          ",828989-1,AV. ITAPOA PARQUE  QD 502   LT 01,,,VAGO,,REGULAR,,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=21,"21 
                  Edital : 5/2023
                ",AV. ITAPOA PARQUE  QD 502   LT 01,1,271000,"
                    Destinação: 
                    UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.
                  ",polygon_828989,358.46560846560845,-,-,-,-,-,"[[-15.735240109, -47.780033845], [-15.735350982, -47.780339636], [-15.73555407, -47.780261139], [-15.735443197, -47.779955349], [-15.735240109, -47.780033845]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,5/2023,23,"UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.",840.0,756.0,756.0,271000,13550,"
            5% de entrada e restante em até 180 meses.
          ",828991-3,AV. ITAPOA PARQUE  QD 502   LT 03,,,SITUACAO NAO CADASTRADA,,REGULAR,,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=23,"23 
                  Edital : 5/2023
                ",AV. ITAPOA PARQUE  QD 502   LT 03,1,271000,"
                    Destinação: 
                    UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.
                  ",polygon_828991,358.46560846560845,-,-,-,-,-,"[[-15.734833935, -47.78019084], [-15.734944808, -47.78049663], [-15.735147895, -47.780418133], [-15.735037022, -47.780112343], [-15.734833935, -47.78019084]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,5/2023,25,"UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.",840.0,756.0,756.0,271000,13550,"
            5% de entrada e restante em até 180 meses.
          ",828993-0,AV. ITAPOA PARQUE  QD 502   LT 05,,,VAGO,,REGULAR,,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=25,"25 
                  Edital : 5/2023
                ",AV. ITAPOA PARQUE  QD 502   LT 05,1,271000,"
                    Destinação: 
                    UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.
                  ",polygon_828993,358.46560846560845,-,-,-,-,-,"[[-15.734427761, -47.780347834], [-15.734538634, -47.780653623], [-15.734741721, -47.780575127], [-15.734630849, -47.780269337], [-15.734427761, -47.780347834]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,5/2023,27,"UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.",1561.0,1404.0,1404.0,482000,24100,"
            5% de entrada e restante em até 180 meses.
          ",828995-6,AV. ITAPOA PARQUE  QD 502   LT 07,,,SITUACAO NAO CADASTRADA,,REGULAR,,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=27,"27 
                  Edital : 5/2023
                ",AV. ITAPOA PARQUE  QD 502   LT 07,1,482000,"
                    Destinação: 
                    UOS CSII 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC Nº 948/2019, COM ALTERAÇÕES DA LC Nº 1007/2022.
                  ",polygon_828995,343.3048433048433,-,-,-,-,-,"[[-15.73384727, -47.780572203], [-15.733958142, -47.780877991], [-15.734335546, -47.780732119], [-15.734224674, -47.78042633], [-15.73384727, -47.780572203]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,5/2023,29,"UOS INST - INSTITUCIONAL, ONDE É PERMITIDO EXCLUSIVAMENTE O USO INSTITUCIONAL, PÚBLICO OU PRIVADO. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",15475.0,18570.0,18570.0,6920000,346000,"
            5% de entrada e restante em até 180 meses.
          ",558990-8,ST HAB. J. BOTANICO AVENIDA BELA VISTA   LT A,LOTE,PLANO,OBSTRUIDO,FIRME,IRREGULAR,ESQUINA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=29,"29 
                  Edital : 5/2023
                ",ST HAB. J. BOTANICO AVENIDA BELA VISTA   LT A,1,6920000,"
                    Destinação: 
                    UOS INST - INSTITUCIONAL, ONDE É PERMITIDO EXCLUSIVAMENTE O USO INSTITUCIONAL, PÚBLICO OU PRIVADO. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_558990,372.64404954227246,-,-,-,-,-,"[[-15.88158182, -47.796349962], [-15.881559013, -47.796284787], [-15.881305135, -47.796349963], [-15.880809652, -47.796477168], [-15.881510437, -47.798199117], [-15.881650714, -47.798138171], [-15.881816195, -47.798068022], [-15.881982835, -47.798000871], [-15.88213863, -47.797941188], [-15.88158182, -47.796349962]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,5/2023,31,"UOS INST - INSTITUCIONAL, ONDE É PERMITIDO EXCLUSIVAMENTE O USO INSTITUCIONAL, PÚBLICO OU PRIVADO. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",8715.0,6100.0,6100.0,11343,68061,"
            100% de entrada e restante em até 180 meses.
          ",509769-0,"SHTQ/RA-XVIII TRECHO 01, QD-3   A ESP 03",LOTE,PLANO,OCUPADO,FIRME,IRREGULAR,ISOLADO,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=31,"31 
                  Edital : 5/2023
                ","SHTQ/RA-XVIII TRECHO 01, QD-3   A ESP 03",1,11343,"
                    Destinação: 
                    UOS INST - INSTITUCIONAL, ONDE É PERMITIDO EXCLUSIVAMENTE O USO INSTITUCIONAL, PÚBLICO OU PRIVADO. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_509769,1.8595081967213114,-,-,-,-,-,"[[-15.697273249, -47.868441248], [-15.696412886, -47.868316391], [-15.696378502, -47.868375102], [-15.697065978, -47.869363021], [-15.69710679, -47.86937493], [-15.697133663, -47.869363301], [-15.697223436, -47.869321353], [-15.697310786, -47.869274263], [-15.697395433, -47.86922218], [-15.697477112, -47.86916527], [-15.697680348, -47.869014906], [-15.697686567, -47.868975881], [-15.697346214, -47.868486782], [-15.697273249, -47.868441248]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,5/2023,33,"UOS CSIIR 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",208.0,374.0,416.0,170000,8500,"
            5% de entrada e restante em até 180 meses.
          ",244791-6, QD 110 AV VARGEM DA BENCAO   LT 05,LOTE,PLANO,VAGO,FIRME,IRREGULAR,ESQUINA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=33,"33 
                  Edital : 5/2023
                ", QD 110 AV VARGEM DA BENCAO   LT 05,1,170000,"
                    Destinação: 
                    UOS CSIIR 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_244791,408.65384615384613,-,-,-,-,-,"[[-15.909986255, -48.098805691], [-15.910026208, -48.098956403], [-15.910138168, -48.098853523], [-15.910061741, -48.098736328], [-15.909986255, -48.098805691]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,5/2023,35,"UOS CSIIR 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",1220.0,2197.0,2441.0,863000,43150,"
            5% de entrada e restante em até 180 meses.
          ",244793-2, QD 110 AV VARGEM DA BENCAO   LT 07,LOTE,PLANO,VAGO,FIRME,IRREGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=35,"35 
                  Edital : 5/2023
                ", QD 110 AV VARGEM DA BENCAO   LT 07,1,863000,"
                    Destinação: 
                    UOS CSIIR 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_244793,353.5436296599754,-,-,-,-,-,"[[-15.910146647, -48.099033153], [-15.910066161, -48.099107113], [-15.910199339, -48.099609479], [-15.910448514, -48.099380512], [-15.910146647, -48.099033153]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,5/2023,37,"UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",105.0,147.0,315.0,157000,7850,"
            5% de entrada e restante em até 180 meses.
          ",819156-5,SHRF II QS 20  BL B LT 02,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=37,"37 
                  Edital : 5/2023
                ",SHRF II QS 20  BL B LT 02,1,157000,"
                    Destinação: 
                    UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_819156,498.41269841269843,-,-,-,-,-,"[[-15.950996064, -48.030882433], [-15.951036202, -48.030932953], [-15.95114094, -48.030844055], [-15.951100803, -48.030793535], [-15.950996064, -48.030882433]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,5/2023,39,"UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",105.0,147.0,315.0,157000,7850,"
            5% de entrada e restante em até 180 meses.
          ",819158-1,SHRF II QS 20  BL B LT 04,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=39,"39 
                  Edital : 5/2023
                ",SHRF II QS 20  BL B LT 04,1,157000,"
                    Destinação: 
                    UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_819158,498.41269841269843,-,-,-,-,-,"[[-15.950869918, -48.030723654], [-15.950910055, -48.030774174], [-15.951014794, -48.030685275], [-15.950974656, -48.030634754], [-15.950869918, -48.030723654]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,5/2023,41,"UOS CSII 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",1745.0,2443.0,3665.0,1530000,76500,"
            5% de entrada e restante em até 180 meses.
          ",819280-4,SHRF II QS 27   A ESP 01,LOTE,PLANO,VAGO,FIRME,IRREGULAR,,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=41,"41 
                  Edital : 5/2023
                ",SHRF II QS 27   A ESP 01,1,1530000,"
                    Destinação: 
                    UOS CSII 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_819280,417.462482946794,-,-,-,-,-,"[[-15.958903056, -48.024182934], [-15.958658669, -48.024390379], [-15.958928171, -48.024729599], [-15.958966321, -48.02473347], [-15.959189761, -48.024543805], [-15.958903056, -48.024182934]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,5/2023,43,"UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",541.0,1083.0,1625.0,2000000,100000,"
            5% de entrada e restante em até 180 meses.
          ",564983-8,CENTRO URBANO QD 202 CONJ 05  LT 13,LOTE,PLANO,VAGO,FIRME,IRREGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=43,"43 
                  Edital : 5/2023
                ",CENTRO URBANO QD 202 CONJ 05  LT 13,2,2000000,"
                    Destinação: 
                    UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_564983,1230.7692307692307,-,-,-,-,-,"[[-15.872508368, -48.086585351], [-15.872292985, -48.086704895], [-15.872379656, -48.086868567], [-15.872595039, -48.086749021], [-15.872508368, -48.086585351], [-15.872508368, -48.086585351], [-15.872595039, -48.086749021], [-15.872810422, -48.086629475], [-15.872723751, -48.086465805], [-15.872508368, -48.086585351]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,5/2023,45,"UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)",100.0,200.0,350.0,150000,7500,"
            5% de entrada e restante em até 180 meses.
          ",187316-4,SAMAMBAIA QS 502 CONJ 04  LT 02,LOTE,PLANO,VAGO,FIRME,REGULAR,MEIO DA QUADRA,,,,,https://comprasonline.terracap.df.gov.br/item/external/show?edict_number=5&edict_year=2023&item=45,"45 
                  Edital : 5/2023
                ",SAMAMBAIA QS 502 CONJ 04  LT 02,1,150000,"
                    Destinação: 
                    UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I  TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS)
                  ",polygon_187316,428.57142857142856,-,-,-,-,-,"[[-15.886882682, -48.084017076], [-15.887054926, -48.083961086], [-15.8870413, -48.083916618], [-15.886869054, -48.083972608], [-15.886882682, -48.084017076]]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
